female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
1	1	0	52	30000	53	1	0	0	0	40	0	0	41
0	1	0	52	22534	50	1	0	0	0	40	0	0	41
0	0	1	52	21000	36	0	0	0	1	50	0	0	41
0	1	0	52	89345	51	0	0	1	0	40	0	1	41
1	1	0	50	41237	47	0	0	1	0	40	0	0	41
1	1	0	52	60000	29	0	0	0	1	36	0	0	41
0	1	0	52	25000	36	0	1	0	0	40	0	1	41
0	1	0	52	130000	56	0	0	1	0	40	0	0	41
1	1	0	52	58000	54	0	0	1	0	40	0	0	41
0	1	0	52	200000	56	0	0	1	0	50	1	0	41
0	1	0	52	36000	46	0	0	1	0	35	0	0	41
1	1	0	52	230000	47	0	0	0	1	50	0	0	41
0	1	0	49	20000	33	1	0	0	0	46	1	0	41
1	0	0	52	95000	60	0	1	0	0	40	0	0	41
0	1	0	52	100000	33	0	0	1	0	45	1	0	41
0	0	1	52	27000	52	1	0	0	0	40	0	0	41
0	1	0	52	42000	61	0	1	0	0	40	0	0	41
1	0	0	52	31672	60	0	1	0	0	40	0	0	41
1	1	0	52	75000	45	1	0	0	0	50	1	0	41
1	1	0	52	40000	34	0	1	0	0	40	1	0	41
0	0	0	52	42000	53	0	1	0	0	40	0	0	41
0	0	0	52	240000	64	0	0	1	0	47	0	0	41
0	1	0	52	70861	64	0	0	1	0	40	0	0	41
1	1	0	52	38076	42	0	0	0	0	40	0	1	41
0	1	0	52	50000	36	1	0	0	0	40	0	0	41
1	1	0	52	36000	29	0	1	0	0	40	0	0	41
0	0	0	52	24000	60	1	0	0	0	35	0	0	41
0	0	0	52	44800	51	1	0	0	0	60	0	0	41
1	1	0	52	109200	52	0	0	1	0	50	0	0	41
0	1	0	52	109200	59	0	0	0	1	50	0	0	41
0	1	0	52	65000	58	0	0	0	0	45	0	1	41
0	0	1	52	16920	39	0	1	0	0	40	0	0	41
0	0	1	52	50000	44	0	1	0	0	40	0	0	41
0	0	1	52	35000	29	1	0	0	0	40	0	0	41
1	1	0	52	150000	61	0	0	1	0	50	0	0	41
0	1	0	52	60000	37	0	1	0	0	50	0	0	41
0	0	0	52	40000	38	1	0	0	0	40	0	0	41
0	0	1	52	24000	30	1	0	0	0	50	0	0	41
1	0	0	52	27000	49	0	0	0	0	39	0	0	41
0	0	0	52	30000	33	1	0	0	0	40	0	0	41
0	0	1	48	19000	34	0	1	0	0	40	1	0	41
0	0	0	52	30000	47	0	1	0	0	40	0	0	41
1	0	0	52	20000	30	1	0	0	0	35	0	0	41
1	0	1	52	40000	26	0	0	1	0	60	0	0	41
1	1	0	52	38400	45	0	0	1	0	40	0	0	41
0	1	0	52	55000	43	0	1	0	0	40	0	0	41
1	1	0	52	51000	39	0	0	0	1	40	0	0	41
1	0	0	52	73000	39	0	1	0	0	36	0	0	41
0	1	0	52	50000	55	0	1	0	0	40	1	0	41
1	1	0	52	33000	55	1	0	0	0	40	0	0	41
0	1	0	52	25000	33	0	1	0	0	40	0	0	41
0	1	0	52	63000	42	1	0	0	0	40	0	0	41
1	0	0	52	12000	43	0	1	0	0	38	0	0	41
0	1	0	52	67500	37	1	0	0	0	40	0	0	41
0	1	0	52	300000	47	0	0	0	1	40	0	0	41
1	0	0	52	130000	42	0	0	1	0	40	0	0	41
0	1	0	52	10145	38	1	0	0	0	40	0	0	41
0	0	0	52	28000	30	1	0	0	0	40	0	1	41
1	0	0	52	26000	36	0	0	0	0	40	0	1	41
0	0	1	52	26000	31	0	0	0	0	40	0	1	41
1	0	1	52	26000	31	0	0	0	0	40	0	1	41
0	1	0	52	50000	36	0	0	1	0	40	0	0	41
1	0	0	52	83000	60	0	0	0	1	45	0	1	41
1	0	0	52	26000	36	1	0	0	0	40	1	0	41
0	0	1	52	50000	48	0	1	0	0	50	0	0	41
0	0	0	52	101000	53	0	1	0	0	50	0	0	41
1	0	0	52	27000	55	1	0	0	0	40	0	0	41
0	1	0	52	45000	35	1	0	0	0	36	0	0	41
0	1	0	52	25000	26	1	0	0	0	40	0	0	41
1	1	0	52	20000	26	1	0	0	0	35	0	0	41
0	1	0	52	58773	33	0	0	1	0	55	0	0	41
1	1	0	52	9135	39	0	1	0	0	60	0	0	41
0	1	0	52	83000	51	1	0	0	0	50	0	0	41
0	1	0	52	43000	28	0	1	0	0	40	0	0	41
0	1	0	52	60000	43	0	1	0	0	50	0	0	41
1	0	0	52	40000	52	1	0	0	0	35	0	0	41
1	0	1	52	66000	24	1	0	0	0	40	0	1	41
0	0	1	52	45000	25	0	0	1	0	50	0	1	41
0	1	0	52	106000	40	0	0	1	0	40	0	0	41
0	1	0	52	125000	62	0	0	0	1	35	0	0	41
0	0	0	52	11000	51	1	0	0	0	55	0	0	41
1	0	0	52	19000	59	0	1	0	0	40	0	0	41
0	1	0	52	16000	45	0	1	0	0	50	0	0	41
1	1	0	52	28000	42	1	0	0	0	36	0	0	41
0	0	1	52	65000	28	0	0	1	0	40	0	0	41
1	0	0	52	73000	39	0	1	0	0	36	0	0	41
1	1	0	52	250000	43	0	0	1	0	70	0	0	41
0	1	0	48	23000	55	1	0	0	0	40	0	0	41
0	1	0	52	44000	37	0	0	0	0	50	0	1	41
1	1	0	52	30000	37	0	1	0	0	40	0	1	41
0	1	0	52	90000	37	1	0	0	0	60	0	1	41
1	1	0	52	15813	29	0	1	0	0	35	0	0	41
1	0	1	52	15000	29	1	0	0	0	35	0	1	41
0	0	0	50	30000	27	0	1	0	0	45	0	1	41
1	0	0	52	15000	42	0	0	0	0	37	0	1	41
0	0	0	52	46000	38	1	0	0	0	40	0	1	41
0	1	0	52	35000	52	0	1	0	0	40	0	1	41
0	1	0	52	29400	38	1	0	0	0	36	0	0	41
1	1	0	52	40000	39	1	0	0	0	36	0	0	41
0	1	0	52	34000	34	1	0	0	0	40	0	0	41
1	1	0	52	25000	32	0	1	0	0	40	0	0	41
0	1	0	52	60000	44	0	1	0	0	40	1	0	41
1	1	0	52	35352	37	0	0	1	0	50	0	0	41
0	1	0	52	43347	41	0	1	0	0	40	0	0	41
1	1	0	52	27978	41	0	1	0	0	40	0	0	41
0	1	0	52	49680	39	1	0	0	0	40	0	0	41
1	0	0	52	66500	38	0	1	0	0	40	0	0	41
0	0	0	52	65000	37	0	1	0	0	45	0	0	41
1	1	0	52	21000	46	0	0	0	0	40	0	1	41
0	1	0	52	75000	52	0	0	0	0	40	1	0	41
1	1	0	52	20000	47	0	0	0	0	35	0	0	41
0	0	1	52	40000	46	0	1	0	0	35	0	0	41
1	0	0	52	32000	35	1	0	0	0	40	0	0	41
0	0	0	52	120000	53	0	1	0	0	60	1	0	41
1	1	0	52	15000	33	1	0	0	0	40	0	1	41
1	1	0	48	12000	60	0	0	0	1	40	0	0	41
0	1	0	52	67000	61	0	1	0	0	40	1	0	41
1	0	0	52	110000	59	0	0	1	0	40	0	0	41
0	0	0	52	36000	58	0	0	0	0	40	0	0	41
0	1	0	52	40000	41	1	0	0	0	50	0	1	41
1	1	0	52	24000	45	0	1	0	0	40	0	0	41
1	0	1	48	47113	36	0	0	1	0	35	0	0	41
0	0	0	52	65000	55	0	1	0	0	55	0	0	41
1	0	0	52	32000	46	1	0	0	0	40	0	0	41
1	0	0	52	30000	61	1	0	0	0	40	0	0	41
1	0	0	52	32444	43	0	1	0	0	45	0	0	41
0	1	0	52	40800	41	1	0	0	0	40	0	0	41
0	0	1	52	38000	60	1	0	0	0	40	0	0	41
0	0	1	52	40000	63	0	1	0	0	40	0	0	41
0	1	0	52	57000	37	0	0	0	1	40	1	0	41
1	0	0	52	94000	56	0	0	0	1	40	0	1	41
1	0	1	52	52000	45	0	1	0	0	44	1	0	41
1	0	1	52	51000	32	0	0	1	0	40	0	0	41
0	1	0	52	29000	34	0	1	0	0	40	0	0	41
1	1	0	52	20000	30	0	0	1	0	40	0	0	41
0	1	0	52	125000	31	0	0	1	0	50	0	0	41
0	1	0	52	36000	60	0	1	0	0	40	0	0	41
1	1	0	52	64650	60	0	1	0	0	45	0	0	41
0	0	1	52	20000	24	1	0	0	0	40	0	0	41
0	1	0	52	20000	60	0	1	0	0	55	0	0	41
1	0	1	52	49000	25	1	0	0	0	40	0	0	41
1	0	0	52	40000	51	1	0	0	0	35	0	0	41
0	0	1	52	70000	26	1	0	0	0	50	0	0	41
0	1	0	52	510000	46	0	0	0	1	60	0	0	41
0	1	0	52	35000	55	1	0	0	0	55	0	0	41
1	1	0	52	42000	48	0	1	0	0	40	0	0	41
1	1	0	52	25000	59	1	0	0	0	35	0	0	41
1	1	0	52	75000	58	0	0	1	0	36	1	0	41
0	0	1	52	26000	53	0	0	0	0	40	0	0	41
0	0	0	52	80000	45	1	0	0	0	40	0	0	41
1	1	0	52	150000	59	0	0	1	0	40	0	0	41
1	0	1	52	62990	51	0	1	0	0	44	0	0	41
0	0	1	52	21000	34	1	0	0	0	40	0	0	41
0	0	1	52	131002	40	0	1	0	0	45	0	0	41
0	1	0	52	35000	35	1	0	0	0	40	0	0	41
1	0	0	52	48000	42	0	1	0	0	60	0	0	41
1	0	1	48	25000	42	0	0	1	0	40	0	0	41
0	0	1	48	14000	36	0	1	0	0	40	0	0	41
0	1	0	52	73000	45	1	0	0	0	40	1	0	41
1	1	0	52	38000	36	0	1	0	0	40	1	0	41
0	1	0	52	22000	42	0	0	0	0	40	0	0	41
0	0	1	52	31000	30	0	1	0	0	40	0	0	41
0	0	1	52	72000	28	0	0	1	0	40	1	0	41
1	0	1	52	54000	28	0	0	1	0	40	0	0	41
0	1	0	52	167704	40	0	0	1	0	40	0	0	41
1	1	0	52	35000	34	0	0	1	0	40	0	0	41
0	1	0	52	62000	48	0	1	0	0	55	0	1	41
1	1	0	52	31000	48	0	1	0	0	40	0	0	41
0	1	0	52	42000	29	1	0	0	0	40	0	0	41
1	1	0	52	42000	30	1	0	0	0	40	0	0	41
0	1	0	52	95000	54	0	0	1	0	50	0	0	41
1	1	0	52	42400	52	0	1	0	0	40	0	0	41
0	1	0	52	180000	47	0	0	0	1	40	0	0	41
1	1	0	52	35000	36	0	1	0	0	40	0	0	41
0	0	0	52	65000	40	0	1	0	0	45	0	0	41
1	0	0	52	58000	43	0	0	1	0	40	0	0	41
0	0	0	52	74000	44	1	0	0	0	40	0	1	41
0	1	0	52	85000	48	1	0	0	0	60	0	0	41
1	0	0	52	60500	47	0	1	0	0	40	0	1	41
1	0	0	52	115000	39	0	0	0	1	40	0	0	41
1	1	0	52	19000	35	0	0	0	1	40	0	1	41
0	1	0	52	85000	35	0	0	1	0	60	0	1	41
0	1	0	52	180000	46	0	0	0	1	45	0	0	41
1	0	0	52	47000	46	0	0	0	0	40	0	0	41
0	0	0	52	82000	50	1	0	0	0	40	0	0	41
1	1	0	52	45000	30	0	0	1	0	40	0	0	41
1	0	1	52	24500	37	0	0	0	0	40	0	0	41
0	1	0	52	49000	39	0	0	1	0	40	1	0	41
1	1	0	52	38000	41	0	0	1	0	38	1	0	41
1	1	0	52	92000	36	0	0	0	1	43	0	0	41
0	1	0	52	81000	36	0	0	0	1	40	0	0	41
1	1	0	50	35000	30	1	0	0	0	80	0	0	41
0	1	0	52	35000	44	0	1	0	0	36	1	0	41
0	1	0	52	52000	36	0	0	0	0	55	0	0	41
1	1	0	52	143000	45	0	0	0	1	41	0	0	41
0	0	0	52	200000	42	0	0	0	0	40	0	0	41
0	1	0	52	85000	54	0	1	0	0	40	1	0	41
1	1	0	52	56000	58	0	0	0	1	40	1	0	41
0	1	0	52	75000	53	0	1	0	0	50	0	0	41
1	1	0	52	34000	37	0	1	0	0	45	0	0	41
1	0	0	52	50000	57	0	1	0	0	40	0	0	41
0	1	0	52	60000	47	0	1	0	0	40	0	0	41
1	0	0	52	104000	42	0	1	0	0	40	0	0	41
0	1	0	52	35000	31	0	1	0	0	40	0	0	41
0	0	0	52	48000	38	0	1	0	0	40	0	0	41
1	0	0	52	67000	35	1	0	0	0	40	0	0	41
0	0	1	52	10000	24	0	1	0	0	40	0	0	41
0	0	1	52	35000	52	0	1	0	0	40	0	0	41
0	1	0	52	34002	62	1	0	0	0	40	0	1	41
1	1	0	52	34000	43	1	0	0	0	50	0	0	41
1	1	0	52	33000	27	0	0	1	0	40	0	0	41
0	1	0	52	45000	41	0	0	1	0	40	0	0	41
1	1	0	52	100000	41	0	0	1	0	40	1	0	41
0	1	0	52	75000	32	0	0	0	1	45	0	0	41
1	1	0	52	80000	55	0	0	0	1	40	0	0	41
0	1	0	52	55500	61	0	1	0	0	43	0	0	41
1	1	0	52	48000	52	1	0	0	0	48	0	0	41
0	0	1	52	39500	24	0	1	0	0	44	0	0	41
1	0	1	52	80000	56	0	0	0	1	40	0	0	41
1	0	1	52	130000	49	0	0	0	1	50	0	0	41
0	1	0	52	180000	46	0	0	0	1	50	0	0	41
1	1	0	50	310000	47	0	0	0	1	50	0	0	41
1	1	0	52	65000	59	0	1	0	0	40	0	0	41
0	1	0	52	100	37	0	0	0	1	55	0	0	41
1	1	0	52	140000	40	0	0	1	0	40	0	0	41
1	0	1	48	25000	36	0	0	1	0	40	0	0	41
1	1	0	52	125000	54	1	0	0	0	50	0	1	41
