female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	0	1	52	19000	28	1	0	0	0	40	0	0	53
1	0	1	52	16000	25	0	0	1	0	35	0	0	53
0	0	0	52	31208	51	0	1	0	0	35	1	1	53
1	0	0	52	72000	48	0	1	0	0	40	0	0	53
0	0	0	48	280000	51	0	0	0	1	40	0	0	53
0	1	0	52	61357	46	1	0	0	0	45	0	1	53
1	1	0	52	64000	61	0	0	0	1	45	0	1	53
1	1	0	52	48000	57	0	1	0	0	40	0	0	53
0	0	1	52	42000	24	1	0	0	0	48	0	0	53
0	1	0	52	22000	33	0	0	1	0	40	0	0	53
1	1	0	52	51800	47	1	0	0	0	40	1	1	53
1	0	0	52	34000	47	0	1	0	0	40	0	0	53
0	0	1	52	20000	34	0	1	0	0	40	0	0	53
0	1	0	52	45000	29	0	1	0	0	40	0	0	53
1	1	0	52	45000	30	0	1	0	0	40	0	0	53
0	1	0	52	60000	26	0	1	0	0	40	0	0	53
1	1	0	52	35000	64	0	1	0	0	40	1	0	53
0	0	1	52	35000	26	1	0	0	0	50	0	1	53
1	0	1	52	25000	25	0	1	0	0	40	0	1	53
0	1	0	52	42000	44	1	0	0	0	40	0	0	53
0	1	0	50	31000	50	0	0	0	0	40	0	1	53
0	0	0	52	51500	30	1	0	0	0	50	0	1	53
0	1	0	52	77000	36	0	0	1	0	40	0	0	53
1	1	0	52	70000	38	0	0	1	0	40	0	0	53
0	0	1	52	42000	32	0	1	0	0	40	0	0	53
1	0	1	52	23000	31	0	1	0	0	40	1	0	53
1	1	0	52	13000	29	0	1	0	0	40	0	0	53
1	1	0	52	27500	54	0	1	0	0	40	1	0	53
0	1	0	52	100000	48	0	0	1	0	40	0	0	53
0	1	0	52	48000	42	1	0	0	0	40	0	0	53
0	0	1	52	17000	36	0	0	0	0	35	0	0	53
0	0	1	52	84000	27	0	0	0	1	50	0	0	53
1	0	0	52	12000	37	0	0	1	0	45	0	0	53
0	1	0	52	55500	53	0	1	0	0	40	0	0	53
0	1	0	52	93000	58	0	1	0	0	60	0	0	53
1	1	0	52	56000	48	0	1	0	0	40	0	0	53
1	1	0	52	98000	52	0	1	0	0	40	0	0	53
1	1	0	52	32000	47	0	1	0	0	40	0	1	53
1	0	0	52	32000	37	0	1	0	0	40	0	1	53
0	1	0	48	45000	44	0	0	0	0	40	0	1	53
1	0	0	52	61000	37	0	0	0	1	40	0	0	53
1	0	0	50	17100	41	0	1	0	0	55	0	0	53
1	0	0	52	35000	50	0	0	0	0	40	0	0	53
0	1	0	50	174000	44	0	0	1	0	60	0	0	53
1	1	0	52	70542	63	0	0	1	0	35	0	0	53
0	1	0	52	84000	34	0	0	0	1	47	0	0	53
0	1	0	52	60000	37	0	1	0	0	70	0	0	53
1	1	0	52	55000	33	1	0	0	0	65	0	0	53
0	0	1	52	43680	42	1	0	0	0	40	1	0	53
1	1	0	52	45000	26	0	1	0	0	40	0	1	53
0	1	0	50	35000	32	0	1	0	0	50	0	1	53
0	1	0	52	16900	39	0	0	0	0	40	0	1	53
0	0	1	52	30000	30	1	0	0	0	40	0	1	53
0	0	0	50	35000	38	0	0	0	0	40	0	1	53
0	0	0	52	30000	36	1	0	0	0	40	0	1	53
1	0	1	52	26000	40	1	0	0	0	40	0	1	53
0	1	0	52	51000	59	0	0	0	0	45	0	1	53
1	0	0	52	48000	32	0	0	0	0	48	0	1	53
1	1	0	52	60000	43	0	0	1	0	40	0	0	53
0	0	0	49	58000	43	0	1	0	0	50	0	0	53
1	0	0	52	34000	39	1	0	0	0	65	0	0	53
0	1	0	52	48000	40	1	0	0	0	50	1	0	53
0	1	0	52	62000	52	0	0	0	0	45	0	1	53
0	0	0	48	29000	51	0	0	0	0	40	0	1	53
0	1	0	52	65000	40	0	0	0	0	60	0	1	53
1	1	0	49	24000	44	1	0	0	0	40	0	1	53
0	0	0	52	40000	37	0	0	0	0	45	0	1	53
0	1	0	52	50000	24	1	0	0	0	60	0	0	53
1	1	0	52	31000	60	0	0	1	0	50	0	0	53
0	0	1	52	20000	36	0	0	0	0	40	0	0	53
1	1	0	52	37700	32	1	0	0	0	40	0	0	53
0	1	0	52	75000	59	0	0	0	1	50	0	0	53
1	1	0	52	42000	52	0	0	1	0	45	1	0	53
1	0	1	52	36000	27	0	0	1	0	40	1	0	53
0	0	0	52	36500	59	1	0	0	0	40	0	0	53
1	0	1	52	16000	53	0	1	0	0	35	1	0	53
1	1	0	52	40837	34	0	0	1	0	40	0	0	53
0	1	0	52	32469	36	0	1	0	0	40	0	0	53
0	1	0	52	400000	41	0	0	0	1	40	1	0	53
1	1	0	52	43680	31	1	0	0	0	40	1	0	53
0	1	0	52	56160	40	1	0	0	0	40	0	0	53
0	1	0	50	90412	34	0	0	0	0	40	0	0	53
1	1	0	52	34000	59	0	1	0	0	40	0	0	53
0	1	0	52	20000	59	0	0	0	0	40	0	1	53
1	1	0	52	36000	55	0	0	0	0	36	0	0	53
0	1	0	52	61000	57	1	0	0	0	40	0	0	53
0	1	0	52	90000	43	0	1	0	0	40	0	0	53
1	1	0	52	22200	47	0	1	0	0	40	0	0	53
0	1	0	50	15000	33	1	0	0	0	40	0	0	53
0	1	0	52	94200	48	0	0	0	0	40	0	0	53
1	0	1	52	38000	25	0	1	0	0	40	0	0	53
0	1	0	52	50000	26	1	0	0	0	40	0	0	53
0	1	0	52	102000	59	1	0	0	0	40	0	1	53
0	1	0	52	35000	64	1	0	0	0	40	0	0	53
1	1	0	52	40000	46	0	0	1	0	35	0	0	53
1	1	0	52	31640	59	1	0	0	0	36	0	0	53
0	1	0	52	18000	59	0	1	0	0	40	0	0	53
1	0	1	49	24000	24	0	1	0	0	40	0	0	53
0	1	0	52	18000	47	0	0	0	0	40	1	1	53
0	1	0	52	23000	48	0	0	0	0	40	0	1	53
1	0	0	50	56000	37	0	1	0	0	40	1	0	53
0	1	0	52	110000	33	0	0	0	1	40	0	0	53
1	1	0	52	30000	36	1	0	0	0	40	0	0	53
0	1	0	52	110000	33	1	0	0	0	45	0	0	53
0	0	0	52	28000	61	1	0	0	0	40	0	0	53
0	0	0	52	50000	36	1	0	0	0	40	0	0	53
1	1	0	52	40000	36	0	0	1	0	50	0	0	53
0	1	0	52	260000	50	0	0	1	0	50	0	0	53
0	0	1	52	80000	46	0	0	1	0	40	1	0	53
