female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	1	0	52	70000	40	0	0	0	1	60	0	1	8
0	1	0	52	92000	40	0	0	1	0	50	0	0	8
0	1	0	52	350000	57	0	0	0	1	50	0	0	8
1	0	0	52	50000	25	0	1	0	0	45	0	1	8
0	1	0	52	75000	57	0	0	1	0	60	0	0	8
1	0	0	52	15000	61	0	0	1	0	40	0	0	8
1	0	0	52	80000	53	0	0	1	0	40	0	0	8
1	0	0	52	100000	64	0	0	0	1	40	0	0	8
1	0	0	52	145000	55	0	1	0	0	50	0	0	8
1	1	0	52	90000	63	0	1	0	0	36	0	0	8
1	0	1	52	132000	50	0	1	0	0	40	0	0	8
0	1	0	49	48000	32	1	0	0	0	50	0	0	8
0	1	0	52	65000	55	1	0	0	0	40	0	1	8
1	0	1	52	20000	31	1	0	0	0	40	0	1	8
0	1	0	52	35000	25	1	0	0	0	40	0	1	8
1	1	0	52	25000	24	0	0	0	1	40	0	0	8
0	1	0	52	48000	51	0	1	0	0	40	0	0	8
0	1	0	52	85000	30	0	0	1	0	50	0	0	8
1	0	0	52	25000	30	0	1	0	0	40	0	0	8
0	1	0	52	38000	24	1	0	0	0	60	0	0	8
1	0	0	52	32000	52	0	0	0	1	35	0	0	8
0	1	0	52	35000	28	0	1	0	0	60	0	1	8
0	1	0	52	60000	33	0	1	0	0	60	1	0	8
1	1	0	52	35360	33	0	1	0	0	40	0	0	8
0	0	1	52	30000	59	0	0	1	0	40	0	0	8
1	0	0	52	53000	50	0	0	1	0	40	1	1	8
1	0	1	52	55000	31	0	1	0	0	40	0	0	8
0	0	1	52	25000	34	0	1	0	0	40	0	0	8
0	1	0	52	89000	48	0	0	0	1	45	0	0	8
1	0	0	52	42000	54	0	1	0	0	60	0	0	8
1	1	0	52	32000	60	1	0	0	0	40	1	0	8
1	1	0	52	20000	40	1	0	0	0	52	1	0	8
0	1	0	52	23000	48	0	0	0	0	40	0	1	8
0	0	1	52	23000	27	0	1	0	0	40	0	1	8
1	0	1	52	40000	57	0	1	0	0	40	0	0	8
0	1	0	52	60000	37	0	1	0	0	60	0	0	8
1	1	0	52	20000	32	0	1	0	0	40	0	0	8
0	1	0	52	25000	34	0	1	0	0	40	1	0	8
0	0	0	52	43000	62	0	1	0	0	40	0	0	8
0	1	0	52	36000	46	0	0	1	0	40	0	0	8
1	1	0	52	36000	39	0	0	0	1	40	1	0	8
0	1	0	52	62000	52	0	1	0	0	40	1	0	8
1	0	0	52	58000	55	0	0	0	1	50	0	0	8
0	1	0	52	28160	41	0	1	0	0	40	0	1	8
0	0	1	52	26000	32	0	1	0	0	40	0	0	8
1	0	0	52	72000	38	0	0	0	1	60	1	0	8
0	1	0	52	75000	25	0	1	0	0	48	0	0	8
0	0	0	52	68000	58	1	0	0	0	55	0	0	8
0	1	0	52	86000	38	0	0	1	0	45	0	0	8
1	1	0	52	80000	33	0	0	1	0	45	0	0	8
1	1	0	52	100000	49	0	1	0	0	38	0	0	8
0	1	0	52	15000	51	1	0	0	0	40	0	0	8
0	1	0	52	76000	52	0	0	1	0	60	0	0	8
1	1	0	52	45000	33	0	1	0	0	40	0	0	8
0	1	0	48	30000	31	0	1	0	0	40	0	1	8
0	1	0	48	100000	39	0	0	1	0	40	0	0	8
0	1	0	52	40000	35	1	0	0	0	60	0	0	8
1	0	0	52	35000	43	0	1	0	0	40	0	0	8
0	0	0	52	20000	46	0	1	0	0	52	0	0	8
1	0	1	52	35400	31	0	1	0	0	40	0	0	8
0	1	0	52	37200	59	1	0	0	0	55	0	0	8
0	1	0	52	30000	53	0	0	0	0	40	0	1	8
1	1	0	52	28000	50	0	0	0	0	40	0	1	8
1	0	0	52	102000	41	0	0	0	1	40	0	0	8
1	1	0	52	40000	49	1	0	0	0	35	0	0	8
0	1	0	52	70000	50	1	0	0	0	40	0	1	8
0	1	0	52	74400	44	0	0	1	0	55	0	0	8
0	1	0	52	64000	37	0	0	0	1	40	0	1	8
1	1	0	52	32000	29	0	1	0	0	49	0	1	8
0	1	0	52	45000	62	0	0	0	1	50	0	0	8
1	1	0	52	75000	60	0	0	1	0	38	0	0	8
1	1	0	52	52000	29	1	0	0	0	50	1	0	8
0	1	0	52	31000	31	1	0	0	0	40	1	0	8
0	0	0	52	29000	30	1	0	0	0	40	1	0	8
1	0	0	52	100000	62	0	0	1	0	52	0	0	8
0	0	1	52	75000	45	0	0	1	0	40	0	1	8
0	1	0	52	85000	48	0	1	0	0	40	0	0	8
1	1	0	52	100000	46	0	0	1	0	40	0	0	8
1	0	1	52	20000	30	0	1	0	0	35	0	1	8
1	0	1	52	30000	26	0	1	0	0	40	1	0	8
0	0	0	52	25000	32	0	0	0	0	40	0	1	8
