female	married	nevermar	wkswork	wsal	age	hsdeg	somecol	colldeg	msdoc	hrswkd	nonwht	hispanic	stateid
0	0	1	52	82000	37	0	0	0	0	40	0	0	50
0	0	1	52	30000	30	1	0	0	0	40	0	0	50
0	0	1	52	48000	25	1	0	0	0	45	0	0	50
1	1	0	52	61500	62	1	0	0	0	40	0	0	50
1	1	0	52	28000	55	1	0	0	0	40	0	0	50
1	0	0	52	39000	34	0	1	0	0	40	0	0	50
0	1	0	52	30000	31	1	0	0	0	40	0	0	50
0	0	1	49	40800	53	1	0	0	0	40	0	0	50
1	0	0	49	20000	50	1	0	0	0	40	0	0	50
0	1	0	52	35000	49	1	0	0	0	40	0	0	50
1	1	0	52	55000	46	1	0	0	0	40	0	0	50
0	1	0	52	33000	49	1	0	0	0	40	0	0	50
0	1	0	52	60000	38	0	0	1	0	40	0	0	50
0	1	0	52	22400	64	0	0	0	1	40	0	0	50
1	0	0	52	14000	37	0	1	0	0	35	0	0	50
0	1	0	52	36000	30	0	0	1	0	55	0	0	50
1	1	0	52	48000	30	0	0	1	0	60	0	0	50
0	0	1	52	47000	26	1	0	0	0	40	0	0	50
1	0	0	52	60000	61	0	1	0	0	40	0	0	50
0	1	0	52	58000	52	1	0	0	0	40	0	0	50
0	0	0	52	52000	57	0	1	0	0	60	0	0	50
0	1	0	52	187000	54	0	0	1	0	50	0	0	50
0	0	1	50	41000	35	1	0	0	0	40	0	0	50
1	0	0	52	72000	48	1	0	0	0	96	0	0	50
0	0	0	52	20000	53	1	0	0	0	40	0	0	50
1	1	0	52	33000	32	0	0	0	0	48	0	0	50
0	1	0	52	33000	35	0	0	0	0	48	0	0	50
0	0	1	52	41125	32	0	1	0	0	40	0	0	50
0	0	0	48	20200	42	0	1	0	0	40	0	0	50
1	0	1	52	24000	36	0	1	0	0	40	0	0	50
1	1	0	52	60000	60	0	0	0	0	35	0	0	50
1	0	0	52	28000	45	0	0	1	0	35	0	0	50
0	1	0	52	42	60	0	1	0	0	49	0	0	50
1	1	0	52	60000	40	0	1	0	0	70	0	0	50
1	0	0	52	31000	37	0	1	0	0	38	0	0	50
1	0	1	52	45000	26	0	0	1	0	40	0	0	50
